WORD_LOWER;AROUSAL_MEAN
überwältigt;6,70
kakerlake;6,40
kuscheln;4,50
genuss;4,50
freundlich;3,70
dankbar;4,40
hübsch;4,40
bescheiden;3,45
mörder;7,05
ernst;4,80
feierlich;4,40
flur;3,70
gewehr;6,25
wahnsinnig;6,55
eindringling;7,05
schnell;6,85
aal;2,4
aas;2,6
abart;3,3
abbau;3,0
abbauen;2,1
abbild;2,1
abbruch;2,9
abdanken;2,7
abdruck;2,2
abend;1,8
abendrot;2,0
abends;2,1
abfahrt;3,1
abfall;2,4
abflug;3,1
abfuhr;3,6
abgang;2,3
abgas;2,9
abgeben;2,2
abgrund;3,9
abhang;3,4
abhauen;3,2
abhilfe;2,2
abitur;4,0
abkehr;2,8
ablauf;2,1
ableger;2,2
ablehnen;3,0
abmagern;2,3
abort;2,4
abreise;3,3
absage;3,4
absatz;2,2
abscheu;4,1
abschied;3,2
abseits;2,8
absender;2,1
absicht;2,6
abstand;1,9
abstieg;2,9
absturz;4,1
absurd;3,4
abt;1,5
abtei;1,8
abteil;2,1
abwasser;2,5
abweg;2,5
abwehr;3,2
abwurf;2,9
abzug;2,9
achse;2,2
achsel;2,4
achten;2,4
achtung;3,6
adel;2,6
adeln;2,4
adjutant;3,2
adler;2,4
adoption;2,9
adressat;2,0
adria;2,7
advent;1,7
affe;3,0
affekt;3,6
agent;2,9
aggression;4,3
agil;2,3
ahnen;2,6
ahnung;3,0
ahorn;1,7
akademie;3,1
akribie;2,4
aktie;2,2
aktion;2,9
aktiv;3,3
aktivität;3,3
akzent;3,2
alarm;4,4
albern;3,1
album;2,5
alkohol;3,5
allee;1,3
allein;2,5
alltag;2,3
almosen;2,7
alpdruck;3,2
alptraum;4,5
altar;2,4
altbau;2,5
alter;2,0
altklug;2,2
amateur;2,5
amboß;2,3
amerika;3,1
ami;2,7
ampel;2,7
ampulle;3,1
amsel;1,8
amt;2,5
amulett;2,4
anbahnen;2,9
anbau;1,6
anbieten;1,7
änderung;2,8
anekdote;2,6
anekeln;3,6
anerkennen;3,0
anfall;3,9
anfallen;3,8
anfang;3,0
anflug;2,5
angeben;2,8
angebot;2,9
angehen;2,4
angeklagte;3,4
angel;2,2
angeregt;3,5
angler;2,0
angriff;4,0
angst;4,4
anheizen;2,8
anker;1,9
anklage;3,9
anklagen;3,8
anklang;1,7
anlegen;2,0
anleihe;2,2
anlocken;2,4
anmut;2,3
anmutig;2,3
annahme;2,3
annehmen;2,4
anomal;2,3
anomalie;3,7
anonym;2,7
anormal;2,4
anpumpen;2,4
anregung;3,1
anreiz;3,7
anruf;2,8
anrufen;2,8
ansporn;3,3
ansprechen;2,7
anstehen;2,5
anteil;2,3
antrag;3,1
antwort;2,7
antworten;2,2
anwalt;2,9
anwidern;3,5
anzahl;1,7
apathie;3,3
apfel;1,8
appetit;2,7
applaus;3,6
aquarium;1,4
arbeit;2,8
arbeiten;2,7
arbeiter;2,2
archiv;1,9
arg;2,5
ärger;3,9
ärgernis;3,8
argwohn;3,4
armee;4,0
armut;3,3
aroma;2,2
arrest;3,8
arroganz;3,6
arsch;4,0
arsen;3,4
arsenal;2,3
arzt;2,8
asche;2,9
aschfahl;1,9
aschgrau;1,6
askese;2,6
asket;2,0
asozial;2,5
asyl;3,4
atemnot;4,4
atlas;2,3
atmung;2,5
atombombe;4,4
attentat;4,7
aufatmen;2,3
aufbau;2,3
aufbauen;2,4
aufbruch;3,2
aufenthalt;2,6
auffordern;3,0
aufgabe;2,8
aufgeben;2,2
aufhalten;2,2
aufhören;2,1
aufleben;2,9
aufnahme;2,7
aufnehmen;2,4
aufpreis;2,7
aufsatz;2,4
aufseher;2,6
aufstand;3,9
aufstieg;3,3
auftrag;2,8
auftreten;2,7
aufwind;2,6
aufzucht;2,6
auge;2,1
august;2,2
ausbaden;2,4
ausbau;1,6
ausbildung;3,4
ausblick;2,2
ausbruch;3,5
ausdauer;2,2
ausfall;3,1
ausflug;2,7
ausgabe;2,3
ausgeben;2,5
auskunft;2,1
auslösen;2,2
ausmaß;2,6
ausnahme;2,9
ausreden;2,3
aussage;2,2
aussetzen;2,1
aussicht;2,2
ausstieg;2,9
auswahl;2,2
auswirkung;2,6
auswurf;2,4
autark;3,0
autonom;2,9
autorität;3,6
aversion;3,8
baby;2,8
bach;1,8
bad;2,3
bagger;2,5
bahre;2,8
bakterie;3,5
balance;3,0
balken;2,1
balkon;2,1
ball;3,2
ballast;2,9
ballon;2,3
balsam;1,3
baltikum;2,1
banane;2,0
bandit;2,6
bank;2,3
bankrott;2,8
banner;2,8
bar;3,2
barbar;3,8
bargeld;2,9
barriere;3,3
barsch;2,9
basis;1,7
bastard;3,8
batterie;1,9
bauen;2,3
bauer;1,8
baum;1,5
bazille;3,5
beachten;2,9
beamte;2,3
beantragen;2,7
beben;4,0
becher;1,7
bedarf;2,4
bedauern;2,5
bedenken;2,7
bedeuten;2,6
bedeutung;2,9
bedienen;2,2
bedingung;2,6
bedrohen;4,0
bedürfen;2,3
bedürfnis;3,5
beenden;2,7
befallen;3,3
befangen;2,6
befehl;3,8
befinden;2,3
befreien;3,2
befreier;2,8
befreiung;3,4
befugnis;2,8
befund;2,9
befürchten;3,1
begabung;2,6
begegnen;3,1
begegnung;2,8
begeistern;3,5
begierde;3,7
beginn;2,8
begleiten;2,8
begnadet;2,4
begraben;3,6
begreifen;2,9
begründen;2,5
begrüßen;2,4
behandeln;2,4
behandlung;2,8
behaupten;2,4
behörde;3,1
behutsam;1,7
beichte;2,8
beifall;2,9
beihilfe;3,2
beil;3,6
beileid;3,2
beispiel;1,9
beitragen;2,3
bejubeln;3,0
bekennen;2,8
bekommen;2,1
belastung;3,6
beleg;1,9
belegen;2,3
beliebt;2,9
belohnen;2,5
beneiden;3,3
bengel;3,3
benötigen;2,3
benzin;2,9
bequem;1,9
beraten;2,4
beratung;2,4
berauben;3,7
bereich;1,8
bereiten;1,9
bereuen;2,8
bericht;2,3
berichten;2,0
beruf;2,7
berühren;2,9
beseitigen;2,5
besen;2,1
besetzen;2,7
besorgt;3,2
bestätigen;2,2
besteck;2,0
bestehen;2,8
bestellen;1,9
bestie;4,5
bestimmen;2,5
bestimmung;3,0
bestreiten;2,7
besuch;2,7
besuchen;2,8
besucher;2,0
beteiligen;2,4
betonen;2,3
betrachten;2,1
betrag;2,4
betragen;1,9
betreffen;2,4
betrieb;2,1
betrug;3,8
bett;2,2
betteln;3,1
beule;3,2
beutel;1,4
bewahren;2,4
bewähren;2,3
bewegen;2,6
bewegung;3,3
beweis;2,4
beweisen;2,8
bewerber;2,6
bezahlen;2,5
bezeichnen;2,0
beziehung;3,7
bibel;2,9
biber;1,9
biene;2,4
bier;2,9
biest;4,1
bieten;2,2
bikini;3,4
bilanz;2,4
bild;1,9
bilden;2,8
bildung;2,6
billigen;2,2
binden;2,7
birke;1,4
birne;1,7
bischof;2,1
bitte;2,9
bitten;2,6
bitter;2,5
blamage;3,9
blase;2,2
blei;1,9
bleiben;1,8
blick;2,3
blitz;3,9
blondine;2,6
blume;1,7
bluse;2,4
blut;3,7
blüte;1,9
blutig;4,4
bluttat;4,3
boden;1,6
bodenlos;3,6
bogen;1,9
bohne;1,6
bohrer;3,2
bombe;4,0
bomber;4,3
bonbon;2,1
boot;2,8
börse;2,1
borste;2,8
boshaft;3,9
botschaft;3,3
brauchen;2,8
brause;2,4
braut;2,8
brechen;3,1
brennen;3,5
brezel;2,2
brief;2,2
brigade;2,7
brillant;3,2
brille;2,2
britisch;2,1
bronze;2,7
brot;2,0
brücke;2,1
bruder;2,2
brunnen;1,9
brust;2,8
brutal;4,5
buch;1,9
buche;1,4
buddha;2,3
bühne;2,8
bulle;2,8
bullig;3,8
bumerang;3,4
bündnis;2,4
bunker;3,5
bunt;2,2
burg;3,0
büro;2,2
bursche;2,2
bürste;2,1
busen;3,3
butter;1,8
cello;2,1
chance;3,2
chaos;4,0
charakter;3,4
charme;2,7
chef;3,1
christus;2,6
dachs;2,5
dackel;2,8
dame;2,3
dampfer;2,6
dank;2,3
danken;1,8
darlehen;2,8
darm;2,9
darstellen;2,5
dasein;2,5
datum;2,2
dauer;2,6
dauern;2,0
daumen;1,8
debatte;3,1
decke;1,6
deckel;1,9
defensiv;2,5
defizit;3,3
dekadent;2,3
delikt;3,4
delle;2,3
demokrat;2,6
demokratie;3,3
demut;3,0
denker;2,4
derb;2,6
dessert;2,2
detail;2,3
deutung;2,4
diagnose;3,6
dialekt;2,7
diamant;2,8
dichter;2,3
dieb;3,5
diele;1,9
dienen;2,5
diener;2,3
dienst;2,1
diffus;2,5
diktatur;4,3
dilemma;3,7
ding;1,6
diplom;3,5
diplomat;2,6
dirne;2,5
diskussion;3,4
distel;2,2
dogge;2,6
doktor;3,4
dokument;2,1
dolch;4,1
dominanz;3,5
donner;3,9
dose;2,0
dosis;3,2
dozent;2,6
drache;3,4
drama;3,9
drängen;3,9
dreck;3,5
drillen;3,2
dringen;2,8
droge;3,9
drohen;3,9
drohung;4,2
druck;3,6
drücken;2,7
duell;3,7
duft;2,4
duften;2,4
dummheit;3,0
durst;3,5
dusche;2,2
echse;2,7
effekt;3,3
egoismus;3,7
ehe;3,2
ehelos;2,5
ehre;3,1
ehrgeiz;3,6
ehrlich;2,1
ehrung;2,9
eiche;1,7
eid;3,5
eidechse;2,8
eifel;2,4
eifer;3,1
eifrig;2,9
eigelb;2,3
eigenart;2,5
eigentum;2,4
eimer;1,6
eindruck;2,2
einengen;3,5
einfall;3,1
einfalt;2,6
eingehen;2,2
einheit;2,2
einigung;2,0
einklang;1,5
einladen;2,5
einladung;2,6
einnahme;2,4
einsam;3,1
einsatz;2,8
einsetzen;2,7
einsicht;2,1
einstellen;2,2
einsturz;4,1
eintracht;1,8
eintreten;2,1
eintritt;2,8
eis;2,8
eitel;3,1
ekel;4,0
ekstase;4,5
elch;2,9
elefant;3,0
elend;4,1
embargo;3,2
emotion;3,1
empfangen;2,8
empfehlen;2,3
empfinden;2,3
ende;2,8
enden;2,8
endziel;3,8
energie;3,5
engel;2,2
enkel;2,3
entdecken;3,2
ente;2,4
entfallen;2,4
entfernen;2,9
entfernung;2,4
enthalten;2,2
entlassen;3,3
entsetzt;3,6
entstehen;2,1
entwurf;2,1
entziehen;1,9
entzug;3,4
erbe;2,8
erbeten;2,2
erbin;3,3
erbitten;2,7
erbse;1,6
erdbeben;4,5
erdbeere;2,8
erde;2,4
erfahren;2,7
erfahrung;3,4
erfassen;2,4
erfinder;2,7
erfolg;3,3
erfolgen;2,5
erfordern;2,0
erfüllen;2,9
erfüllung;2,3
ergänzen;2,2
ergeben;2,5
ergebnis;2,8
ergreifen;2,4
erhalten;2,1
erheben;2,1
erholung;1,3
erinnern;3,0
erinnerung;2,9
erkennen;2,8
erkenntnis;3,4
erlauben;1,9
erleben;3,1
erlebnis;2,8
erledigen;3,0
erleiden;3,7
ermitteln;2,5
ernte;2,0
erotik;4,4
erreger;3,9
erreichen;2,5
errichten;2,2
errichtung;2,0
ersaufen;3,4
ersetzen;2,2
erteilen;1,8
ertrag;2,3
erwarten;2,7
erwartung;3,4
erweitern;1,9
erwerb;2,7
erwerben;2,3
erzählen;2,8
erzeugen;2,6
erzeuger;3,1
erzeugnis;2,4
erzfeind;3,7
erzielen;2,5
esel;2,7
essen;3,5
essig;2,6
ethik;3,2
eule;2,1
euphorie;3,8
euter;2,4
ewigkeit;2,2
existenz;3,2
fabel;2,1
fabrik;2,3
fächer;2,1
faden;1,8
fähigkeit;3,0
fahndung;3,3
fahne;2,0
fahren;2,6
fahrer;2,5
fahrrad;3,0
fahrt;2,4
fall;2,8
falle;4,0
fallen;2,6
fällen;2,1
falte;2,0
familie;2,3
fangen;3,0
fantasie;2,9
farbe;2,2
fasan;2,1
fasching;2,8
faschismus;4,0
fassade;2,2
fassen;2,1
faust;3,2
feder;1,7
fee;2,4
fehde;3,2
fehlen;2,9
fehler;3,2
feier;3,4
feiern;3,3
feiertag;1,9
feigling;3,4
feile;2,4
feind;4,2
fenster;1,9
ferien;2,3
fernrohr;2,4
fernsehen;2,3
ferse;2,1
fessel;4,1
fest;2,9
festlegen;2,4
festtag;2,8
festung;3,4
fett;3,5
feucht;3,5
feuer;3,7
feurig;4,2
fibel;1,9
fichte;1,8
fieber;3,7
figur;2,5
film;2,6
filmstar;3,1
filter;2,2
finale;3,5
finden;2,5
finder;1,9
finger;2,1
firma;2,4
fisch;2,4
flagge;2,5
flamingo;2,7
flamme;3,3
flasche;2,0
flaute;2,1
flegel;2,4
fleisch;3,1
flexibel;2,4
fliege;2,2
fliegen;3,5
fließen;2,0
flirt;4,4
floß;3,0
flöte;2,3
fluch;3,7
flucht;3,9
flüchtling;3,2
flughafen;3,5
flugzeug;3,3
flut;3,6
fohlen;2,4
föhn;2,3
folge;2,6
folter;4,7
foltern;4,4
fordern;2,7
fördern;2,1
forderung;3,0
förderung;2,5
form;2,2
forsch;3,3
forscher;2,7
forschung;2,8
fortsetzen;2,3
fortuna;2,7
foto;3,3
fracht;2,6
frage;2,3
fragen;2,4
fraktion;2,3
frau;2,5
fräulein;3,0
fraulich;2,5
freier;3,4
freiheit;4,0
freitod;3,8
freizeit;2,9
freude;3,4
freudig;2,9
freudlos;2,4
freuen;3,1
freund;2,1
frevel;3,4
friede;1,4
frieden;1,6
friedhof;3,2
frist;3,2
frisur;2,7
froh;2,3
fromm;2,3
front;3,5
frosch;2,8
frühjahr;2,4
fuchs;3,5
fühlen;3,5
führer;3,9
führung;2,4
füllen;2,1
füller;2,3
fund;2,7
funke;3,1
funktionär;2,2
furcht;4,4
fürchten;3,9
fusion;2,6
futter;2,4
gabel;2,1
galgen;4,1
galle;2,8
ganove;3,7
gans;2,9
garaus;3,3
garten;1,6
gas;3,4
gast;2,3
gatte;3,0
gauner;3,6
gebein;2,7
gebet;2,7
gebiet;2,3
gebot;2,8
geburt;4,2
geburtstag;3,1
gedanke;2,6
gedenken;2,7
gedicht;2,9
geduld;1,8
gefahr;4,4
gefährden;3,9
gefallen;2,4
gefängnis;3,1
gefühl;3,1
gegend;1,9
gegensatz;3,1
gegenteil;2,8
gegner;3,6
gehalt;2,8
geheim;3,2
geheimnis;3,8
gehen;2,3
geheul;3,7
gehirn;3,3
gehören;2,2
geier;3,2
geige;2,6
geisel;4,4
geist;2,8
geiz;3,6
gejammer;3,2
gekicher;3,1
gelaunt;2,6
geld;2,9
geldgier;3,8
gelenk;2,3
geliebte;3,8
gelingen;2,6
gelten;2,1
gemein;3,9
gemeinde;2,1
gemetzel;4,3
gemse;1,9
gemüse;1,8
general;2,8
genial;3,5
genie;3,7
genießen;2,1
genosse;2,8
gerede;3,1
gericht;3,4
geruch;2,7
gesang;2,1
geschehen;2,5
geschenk;3,5
geschichte;2,7
geschrei;3,9
gesetz;2,7
gesicht;2,7
gesindel;3,1
gespräch;2,7
gestalten;2,1
gestaltung;2,5
gestank;3,6
geste;2,1
gestehen;3,1
gesund;1,6
gesundheit;2,2
gewalt;4,4
geweih;2,6
gewicht;3,3
gewinn;3,9
gewinnen;3,2
gewissen;3,3
gewitter;3,6
ghetto;4,1
giebel;2,2
gierig;3,9
gift;4,0
giftgas;4,2
gigant;3,8
giraffe;2,8
girlande;2,9
gitarre;3,0
gitter;2,6
glanz;2,6
glas;1,8
glaube;3,1
glauben;2,6
globus;2,3
glocke;2,4
glück;2,9
glut;3,1
gnade;2,3
gold;2,5
gott;2,5
grab;3,8
granate;4,1
grandios;3,4
gras;1,6
gratis;2,6
grausam;3,9
greifen;2,1
grenze;3,0
greuel;3,9
grinsen;3,2
großmacht;3,7
grube;2,5
grund;2,3
gründen;2,3
grundlage;2,2
grundstück;2,0
gründung;2,5
gruppe;2,4
gruselig;3,7
gruß;1,7
gummi;2,3
gurgel;2,7
gurke;1,6
gurt;2,0
gürtel;2,2
gutartig;1,9
guttun;1,6
habgier;3,7
hafen;2,0
hafer;1,5
haftung;2,8
hagel;3,0
hahn;2,2
hai;3,3
halbtot;2,8
halle;2,1
halunke;3,5
hammer;3,0
hamster;2,4
hand;1,8
handikap;3,1
hanf;2,3
hängen;2,5
hantel;2,5
harfe;1,5
harmonie;1,8
hase;2,8
hassen;4,4
haube;2,2
haus;1,8
hausfrau;2,3
haushalt;2,1
haustier;2,2
hebel;2,3
heben;2,1
hefe;1,8
hehlerei;3,4
heide;1,6
heilfroh;2,3
heilung;2,4
heimat;1,8
heimkehr;2,7
heirat;3,3
heiraten;3,8
heißen;2,1
heiter;2,7
heizung;1,8
held;3,5
helfen;3,1
helfer;2,4
hemd;2,0
hemmnis;3,0
henker;4,2
henne;2,1
herbst;1,7
herd;2,6
herde;2,4
hering;2,2
heroisch;2,9
herr;2,6
herrschaft;3,2
herrschen;3,3
herstellen;2,1
herz;3,3
herzlos;2,3
hetzen;3,9
hetzer;3,8
heucheln;3,9
heulen;3,9
hexe;3,1
hilfe;3,0
hilflos;4,0
himbeere;2,5
himmel;1,7
hinweis;2,5
hirsch;2,9
hirse;1,6
hirte;2,2
hitze;3,8
hobby;2,9
hobel;2,1
hochmut;3,3
hochschule;3,4
hochzeit;3,5
hocker;2,0
hoffen;2,4
hoffnung;2,6
höhe;3,3
höhepunkt;4,1
holen;2,0
honig;1,6
horde;3,2
hormon;3,3
hornisse;3,7
horoskop;2,9
horror;4,4
hose;2,0
hotel;2,5
huhn;2,4
human;2,1
hummer;2,6
humor;3,8
humorlos;2,3
hunger;3,6
hupe;3,5
hure;3,8
hypnose;3,2
hypothek;3,1
ideell;2,5
idiot;3,2
idylle;1,8
igel;2,6
iglu;2,7
illegal;3,5
imker;2,2
impfung;2,8
import;1,8
impuls;3,6
industrie;2,5
inferno;4,3
inhalt;2,3
initiative;3,3
insekt;3,0
insel;2,2
instinkt;3,5
instrument;3,3
intensiv;3,9
interesse;3,2
intim;3,8
intrige;3,9
irre;3,8
irrlehre;3,3
irrsinn;4,1
irrtum;3,2
islam;3,1
jacke;2,2
japan;2,1
jauche;3,2
jawort;2,8
jazz;3,6
job;3,5
jubel;3,6
jugend;3,3
junge;2,8
jungfrau;2,3
justiz;3,3
juwel;2,8
kabel;2,3
käfer;2,9
kaffee;2,3
käfig;3,3
kakao;1,5
kaktee;2,4
kaktus;2,4
kalorie;2,8
kamel;2,3
kamera;3,0
kamerad;2,4
kamin;1,5
kamm;1,9
kammer;2,1
kampf;4,0
kämpfen;3,8
kampflos;2,3
kanal;2,2
kandidatur;2,8
känguruh;3,0
kanne;1,7
kanon;2,0
kanone;3,9
kante;2,6
kanzel;1,9
kanzler;2,4
kappe;2,1
karaffe;2,0
kargheit;2,6
karriere;3,2
karte;2,4
kartei;2,0
karton;1,8
käse;2,3
kasino;2,5
kasperl;2,8
kasse;2,3
kassette;2,1
kastanie;2,1
kater;2,6
katze;2,1
kauf;3,0
kaufen;3,2
kegel;2,0
kehle;3,2
kehren;2,2
keks;2,4
keller;2,7
kennen;2,4
kenntnis;2,2
kerbe;2,6
kerker;4,1
kerze;1,6
kette;2,8
ketzer;3,8
keule;2,9
kichern;3,0
kiefer;1,8
kiesel;1,6
killer;4,3
kind;2,4
kiosk;2,0
kirche;2,3
kirsche;2,7
kissen;1,6
kiste;1,9
kitsch;2,5
klage;3,5
klang;1,6
klären;2,8
klarheit;2,2
klasse;2,7
klassik;3,1
klaue;3,5
klauen;3,6
klavier;2,4
klee;1,4
klette;2,3
klient;2,8
klima;2,2
klinge;3,7
klingel;2,7
klinik;3,3
klinke;1,9
klippe;3,4
klischee;3,4
kloster;1,8
klugheit;2,8
knabe;2,2
knausern;2,1
knebel;4,0
knebeln;3,7
kneipe;2,4
knochen;3,0
knospe;2,2
koalition;2,3
kobold;2,5
kobra;3,6
koffer;2,3
